execution_time_ms,platform,version
53576,pac_a10 : Intel PAC Platform (pac_ee00000),Original
56393,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53387,pac_a10 : Intel PAC Platform (pac_ee00000),Original
57152,pac_a10 : Intel PAC Platform (pac_ee00000),Original
56834,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53751,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53578,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53396,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53312,pac_a10 : Intel PAC Platform (pac_ee00000),Original
53571,pac_a10 : Intel PAC Platform (pac_ee00000),Original
45917,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45902,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45912,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
46125,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45916,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
46679,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
46363,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45900,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45921,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
45899,pac_a10 : Intel PAC Platform (pac_ee00000),Otimizado
